vid,vehicle_class,vocation,vehicle_type,fuel_type,drivetrain_type
1.0,7.0,Beverage Delivery,Tractor,Diesel,Conventional
2.0,7.0,Beverage Delivery,Tractor,Diesel,Conventional
3.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
4.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
5.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
6.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
8.0,8.0,Beverage Delivery,Tractor,Diesel,Conventional
9.0,4.0,Parcel Delivery,Walk In,Diesel,Conventional
10.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
11.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
12.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
14.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
15.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
16.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
17.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
18.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
20.0,4.0,Parcel Delivery,Walk In,Diesel,Parallel Hybrid
23.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
24.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
25.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
26.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
28.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
29.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
30.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
31.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
32.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
33.0,7.0,Warehouse Delivery,Straight Truck,Diesel,Conventional
36.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
37.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
38.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
39.0,7.0,Parcel Delivery,Straight Truck,Diesel,Parallel Hybrid
40.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
42.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
43.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
44.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
45.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
46.0,7.0,Parcel Delivery,Straight Truck,Diesel,Conventional
47.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
48.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
49.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
50.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
51.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
52.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
53.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
54.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
55.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
56.0,5.0,Food Delivery,Straight Truck,Diesel,Conventional
58.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
59.0,5.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
60.0,6.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
61.0,5.0,Linen Delivery,Step Van,Diesel,Conventional
62.0,5.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
63.0,6.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
64.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
65.0,6.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
66.0,5.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
67.0,6.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
68.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
70.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
71.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
72.0,5.0,Linen Delivery,Step Van,Diesel,Conventional
74.0,7.0,Linen Delivery,Straight Truck,Diesel,Conventional
75.0,5.0,Linen Delivery,Step Van,Diesel,Parallel Hybrid
76.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
77.0,6.0,Linen Delivery,Step Van,Diesel,Conventional
78.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
79.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
80.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
81.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
83.0,8.0,Beverage Delivery,Tractor,Diesel,Parallel Hybrid
